,武汉市,孝感市,黄冈市,荆州市,鄂州市,随州市,襄阳市,黄石市,宜昌市,荆门市,咸宁市,十堰市,仙桃市,天门市,恩施州,潜江市,神农架
武汉市,,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0
孝感市,1,,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
黄冈市,1,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,0
荆州市,0,0,0,,0,0,0,0,1,1,1,0,1,0,0,1,0
鄂州市,1,0,1,0,,0,0,1,0,0,0,0,0,0,0,0,0
随州市,0,1,0,0,0,,1,0,0,1,0,0,0,0,0,0,0
襄阳市,0,0,0,0,0,1,,0,1,1,0,1,0,0,0,0,1
黄石市,1,0,1,0,1,0,0,,0,0,1,0,0,0,0,0,0
宜昌市,0,0,0,1,0,0,1,0,,1,0,0,0,0,1,0,1
荆门市,0,1,0,1,0,1,1,0,1,,0,0,0,1,0,1,0
咸宁市,1,0,0,1,0,0,0,1,0,0,,0,0,0,0,0,0
十堰市,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,1
仙桃市,1,1,0,1,0,0,0,0,0,0,0,0,,1,0,1,0
天门市,0,1,0,0,0,0,0,0,0,1,0,0,1,,0,1,0
恩施州,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,1
潜江市,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,,0
神农架,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,
